Name,Position,Goalkeeper,Defender,Midfielder,Forward
Takashi Usami,Midfielder,,,1,
Makoto Hasebe,Midfielder,,,1,
Jonathan dos Santos,Midfielder,,,1,
Hakim Ziyech,Midfielder,,,1,
Karim El Ahmadi,Midfielder,,,1,
Fayçal Fajr,Midfielder,,,1,
Amine Harit,Midfielder,,,1,
Mehdi Carcela,Midfielder,,,1,
John Obi Mikel,Midfielder,,,1,
Édgar Bárcenas,Midfielder,,,1,
Armando Cooper,Midfielder,,,1,
Ricardo Ávila,Midfielder,,,1,
Paolo Hurtado,Midfielder,,,1,
Renato Tapia,Midfielder,,,1,
Kamil Grosicki,Midfielder,,,1,
Piotr Zieliński,Midfielder,,,1,
Rafał Kurzawa,Midfielder,,,1,
William Carvalho,Midfielder,,,1,
Bruno Fernandes,Midfielder,,,1,
Denis Cheryshev,Midfielder,,,1,
Yuri Zhirkov,Midfielder,,,1,
Abdullah Otayf,Midfielder,,,1,
Housain Al-Mogahwi,Midfielder,,,1,
Taisir Al-Jassim,Midfielder,,,1,
Cheikhou Kouyaté,Midfielder,,,1,
Alfred N'Diaye,Midfielder,,,1,
Luka Milivojević,Midfielder,,,1,
Dušan Tadić,Midfielder,,,1,
Sergej Milinković-Savić,Midfielder,,,1,
Ju Se-jong,Midfielder,,,1,
Koo Ja-cheol,Midfielder,,,1,
Koke,Midfielder,,,1,
Marco Asensio,Midfielder,,,1,
Steven Zuber,Midfielder,,,1,
Ruth Bravo,Midfielder,,,1,
Florencia Bonsegundo,Midfielder,,,1,
Mariela Coronel,Midfielder,,,1,
Emily van Egmond,Midfielder,,,1,
Katrina Gorry,Midfielder,,,1,
Andressinha,Midfielder,,,1,
Jeannette Yango,Midfielder,,,1,
Marlyse Ngo Ndoumbouk,Midfielder,,,1,
Dzsenifer Marozsán,Midfielder,,,1,
Sara Däbritz,Midfielder,,,1,
Yui Hasegawa,Midfielder,,,1,
Narumi Miura,Midfielder,,,1,
Lee Young-ju,Midfielder,,,1,
Sherida Spitse,Midfielder,,,1,
Annalie Longo,Midfielder,,,1,
Katie Bowen,Midfielder,,,1,
Olivia Chance,Midfielder,,,1,
Vilde Bøe Risa,Midfielder,,,1,
Karina Sævik,Midfielder,,,1,
Leanne Crichton,Midfielder,,,1,
Kholosa Biyana,Midfielder,,,1,
Vicky Losada,Midfielder,,,1,
Patricia Guijarro,Midfielder,,,1,
Aitana Bonmatí,Midfielder,,,1,
Andrea Falcón,Midfielder,,,1,
Lina Hurtig,Midfielder,,,1,
Éver Banega,Midfielder,,,2,
Ángel Di María,Midfielder,,,2,
Cristian Pavón,Midfielder,,,2,
Yannick Carrasco,Midfielder,,,2,
Fernandinho,Midfielder,,,2,
Wílmar Barrios,Midfielder,,,2,
James Rodríguez,Midfielder,,,2,
Mateo Kovačić,Midfielder,,,2,
Milan Badelj,Midfielder,,,2,
Thomas Delaney,Midfielder,,,2,
Christian Eriksen,Midfielder,,,2,
Lasse Schöne,Midfielder,,,2,
Jesse Lingard,Midfielder,,,2,
Ruben Loftus-Cheek,Midfielder,,,2,
Mesut Özil,Midfielder,,,2,
Birkir Bjarnason,Midfielder,,,2,
Vahid Amiri,Midfielder,,,2,
Miguel Layún,Midfielder,,,2,
Mbark Boussoufa,Midfielder,,,2,
Gabriel Gómez,Midfielder,,,2,
Aníbal Godoy,Midfielder,,,2,
Christian Cueva,Midfielder,,,2,
Pedro Aquino,Midfielder,,,2,
Jacek Góralski,Midfielder,,,2,
Maciej Rybus,Midfielder,,,2,
João Moutinho,Midfielder,,,2,
Bernardo Silva,Midfielder,,,2,
Adrien Silva,Midfielder,,,2,
Daler Kuzyayev,Midfielder,,,2,
Nemanja Matić,Midfielder,,,2,
Ki Sung-yueng,Midfielder,,,2,
Sebastian Larsson,Midfielder,,,2,
Emil Forsberg,Midfielder,,,2,
Carlos Sánchez,Midfielder,,,2,
Cristian Rodríguez,Midfielder,,,2,
Lucas Torreira,Midfielder,,,2,
Estefanía Banini,Midfielder,,,2,
Elise Kellond-Knight,Midfielder,,,2,
Raissa Feudjio,Midfielder,,,2,
Lou Jiahui,Midfielder,,,2,
Wang Shuang,Midfielder,,,2,
Amandine Henry,Midfielder,,,2,
Svenja Huth,Midfielder,,,2,
Valentina Bergamaschi,Midfielder,,,2,
Trudi Carter,Midfielder,,,2,
Jackie Groenen,Midfielder,,,2,
Rita Chikwelu,Midfielder,,,2,
Ngozi Okobi-Okeoghene,Midfielder,,,2,
Caroline Hansen,Midfielder,,,2,
Ingrid Engen,Midfielder,,,2,
Kristine Minde,Midfielder,,,2,
Caroline Weir,Midfielder,,,2,
Mamello Makhabane,Midfielder,,,2,
Sam Mewis,Midfielder,,,2,
Julie Ertz,Midfielder,,,2,
Abdallah Said,Midfielder,,,3,
Dele Alli,Midfielder,,,3,
Corentin Tolisso,Midfielder,,,3,
Jóhann Berg Guðmundsson,Midfielder,,,3,
Gylfi Sigurðsson,Midfielder,,,3,
Emil Hallfreðsson,Midfielder,,,3,
Saeid Ezatolahi,Midfielder,,,3,
Shinji Kagawa,Midfielder,,,3,
Andrés Guardado,Midfielder,,,3,
Younès Belhanda,Midfielder,,,3,
Oghenekaro Etebo,Midfielder,,,3,
João Mário,Midfielder,,,3,
Aleksandr Samedov,Midfielder,,,3,
Salman Al-Faraj,Midfielder,,,3,
Salif Sané,Midfielder,,,3,
Andrés Iniesta,Midfielder,,,3,
Chloe Logarzo,Midfielder,,,3,
Jill Scott,Midfielder,,,3,
Lea Schüller,Midfielder,,,3,
Manuela Giugliano,Midfielder,,,3,
Marta Corredera,Midfielder,,,3,
Alexia Putellas,Midfielder,,,3,
Maximiliano Meza,Midfielder,,,4,
Enzo Pérez,Midfielder,,,4,
Jordan Henderson,Midfielder,,,4,
Sami Khedira,Midfielder,,,4,
Toni Kroos,Midfielder,,,4,
Genki Haraguchi,Midfielder,,,4,
Roman Zobnin,Midfielder,,,4,
Anice Badri,Midfielder,,,4,
Nahitan Nández,Midfielder,,,4,
Matías Vecino,Midfielder,,,4,
Barbara Bonansea,Midfielder,,,4,
Guro Reiten,Midfielder,,,4,
Rose Lavelle,Midfielder,,,4,
Axel Witsel,Midfielder,,,5,
Ivan Rakitić,Midfielder,,,5,
Tarek Hamed,Midfielder,,,5,
Nordin Amrabat,Midfielder,,,5,
José Luis Rodríguez,Midfielder,,,5,
Aleksandr Golovin,Midfielder,,,5,
Sergio Busquets,Midfielder,,,5,
Viktor Claesson,Midfielder,,,5,
Valentina Cernoia,Midfielder,,,5,
Isco,Midfielder,,,6,
Tameka Yallop,Midfielder,,,6,
Alexandra Popp,Midfielder,,,6,
Kosovare Asllani,Midfielder,,,6,
Lindsey Horan,Midfielder,,,6,
Takashi Inui,Midfielder,,,7,
Albin Ekdal,Midfielder,,,7,
Blerim Džemaili,Midfielder,,,7,
Xherdan Shaqiri,Midfielder,,,7,
Blaise Matuidi,Midfielder,,,8,
Daniëlle van de Donk,Midfielder,,,8,
Juan Cuadrado,Midfielder,,,9,
Paul Pogba,Midfielder,,,13,
Tomi Juric,Forward,,,,1
Adnan Januzaj,Forward,,,,1
Douglas Costa,Forward,,,,1
Roberto Firmino,Forward,,,,1
Carlos Bacca,Forward,,,,1
Marco Ureña,Forward,,,,1
Ivan Perišić,Forward,,,,1
Andrej Kramarić,Forward,,,,1
Nicolai Jørgensen,Forward,,,,1
Martin Braithwaite,Forward,,,,1
Yussuf Poulsen,Forward,,,,1
Pione Sisto,Forward,,,,1
Thomas Lemar,Forward,,,,1
Nabil Fekir,Forward,,,,1
Marco Reus,Forward,,,,1
Yoshinori Mutō,Forward,,,,1
Raúl Jiménez,Forward,,,,1
Abdiel Arroyo,Forward,,,,1
Jefferson Farfán,Forward,,,,1
Dawid Kownacki,Forward,,,,1
Muhannad Assiri,Forward,,,,1
Mame Biram Diouf,Forward,,,,1
Rodrigo,Forward,,,,1
Lucas Vázquez,Forward,,,,1
Diego Costa,Forward,,,,1
David Silva,Forward,,,,1
John Guidetti,Forward,,,,1
Isaac Kiese Thelin,Forward,,,,1
Breel Embolo,Forward,,,,1
Giorgian De Arrascaeta,Forward,,,,1
Jonathan Urretaviscaya,Forward,,,,1
Gaëlle Enganamouit,Forward,,,,1
